n,m,min_degree,max_degree,total_degree,min_weight,max_weight,none,
10,10,271,294,214,266,233,255,
10,20,383,495,383,440,580,447,
10,40,631,564,631,679,679,609,
160,10,539,539,539,539,539,560,
160,10240,11457,11465,11455,11657,11655,11622,
160,1280,9319,9010,9106,10264,9978,9582,
160,160,5307,5695,5034,5957,6472,5697,
160,20,1046,988,988,861,861,861,
160,2560,10463,10728,10495,11284,11208,10898,
160,320,6822,6726,6805,8012,7766,7399,
160,40,1541,1568,1568,1515,1512,1572,
160,5120,10676,10757,10620,10929,10947,10768,
160,640,8832,9444,9025,10317,10205,9449,
160,80,3187,3242,3201,3152,3161,3283,
20,10,500,451,500,546,527,573,
20,160,1220,1243,1262,1307,1316,1241,
20,20,748,694,748,733,733,722,
20,40,921,906,885,1038,1065,1049,
20,80,1324,1127,1274,1473,1453,1369,
320,10,461,461,461,461,461,461,
320,10240,21091,21249,21187,21680,21541,21267,
320,1280,15698,16515,16142,19353,18520,17489,
320,160,6676,6762,6501,7040,6813,6843,
320,20,885,885,885,885,885,885,
320,20480,22554,22432,22697,22824,22743,22340,
320,2560,19206,19491,19085,21510,21157,19996,
320,320,9487,9835,9755,10059,10707,9937,
320,40,2302,2254,2254,2352,2352,2326,
320,40960,21097,21124,21097,21262,21262,21101,
320,5120,20372,20762,20814,21652,21159,20810,
320,640,13595,13931,13643,16403,15733,14680,
320,80,3280,3205,3242,3276,3188,3232,
40,10,600,553,553,600,553,609,
40,160,2299,2162,2096,2446,2478,2215,
40,20,723,768,723,846,891,961,
40,320,2417,2475,2518,2689,2663,2463,
40,40,1245,1402,1157,1189,1381,1184,
40,640,2604,2727,2604,2768,2746,2639,
40,80,1559,1926,1926,2016,2014,1790,
80,10,413,413,413,383,383,404,
80,1280,5314,5152,5314,5606,5479,5312,
80,160,3379,3648,3467,4024,4126,4084,
80,20,906,904,906,953,904,953,
80,2560,5679,5603,5679,5682,5625,5596,
80,320,4276,4222,3981,5014,4951,4065,
80,40,1829,1815,1648,1919,1835,1795,
80,640,4918,4861,4798,5412,5283,4891,
80,80,2548,2329,2578,2933,2906,2719,
